Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian gue kasih khusus kamu basic kamu cowok bego,1,1,1,0,0,0,0,0,1
siapa telat memberi tau kamu edan sarap gue bergaul cigax jifla calis sama siapa licew,0,1,0,0,0,0,0,0,0
kadang aku berpikir aku tetap percaya tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan meninggalkan aku sendirian orang tuaku berencana berpisah kakakku lebih memilih jadi kristen aku anak ter,0,0,0,0,0,0,0,0,0
aku aku ku tau matamu sipit dilihat mana aku,0,0,0,0,0,0,0,0,0
kaum cebong kafir kelihatan dongoknya awal tambah dungu haha,1,1,0,1,1,0,0,0,0
bani taplak kawan kawan,1,1,0,1,0,0,0,0,1
deklarasi pilihan kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0
gue baru selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0
nah admin belanja satu port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau ð ­ doket mana gerai rozak mertuaku taipan depan kembar baby romantika bank islam senawang ð,0,0,0,0,0,0,0,0,0
enak kalau ngewe,0,1,0,0,0,0,0,0,0
gue punya jari tengah buat kamu gue ukur nyali sama bacot kamu,1,1,1,0,0,0,0,0,1
banci kaleng malu bisa jawab pertanyaan dari hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0
aktor huru hara prabowo si lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1
bu guru enakan jadi jablay guru sekolah dasar sih kayaknya menikmati jadi pecun guru,1,1,1,0,0,0,0,1,0
lawan bicara gue intelek kayak kamu otak punya kencing onta gue mengakui hadis nabi itu sahih kafir kayak kamu menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0
belakangan kok pikiran ampas banget,0,0,0,0,0,0,0,0,0
ari sama beki rapi monyet,0,1,0,0,0,0,0,0,0
jadi cowok harus gantle kalau gantle namanya banci,1,1,0,1,0,0,0,1,0
alga mnr bom,0,0,0,0,0,0,0,0,0
anjing tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0
kalau kamu noob peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0
joko widodo dinilai presiden terlemah sejarah indonesia ini terjadi bukan jokowi memiliki modal dukungan politik cukup juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0,0,0,0,0,0,0,0
pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun gubernur ahmad heryawan gunakan anggaran pendapatan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0
siapapun gubernur presidennya rakyatnya kitaâ²,0,0,0,0,0,0,0,0,0
sih kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1
menurutku pintu sorga yaitu pintu sorga asli pintu hatimu modus banget,0,0,0,0,0,0,0,0,0
partai komunis indonesia muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,1,0,0,1,0,1,0,0,0
adalah nenek nenek heran sama cebong biasanya bohong terus,1,1,1,0,0,0,0,0,1
